ID_CONTRAGENT,ID_SERVICE,CONTRAGENT,ID_ACCOUNT
21,4,TV NET,7
22,3,Telenor,
23,4,VIVACOM,
24,6,VIVACOM (фиксирана мрежа),
25,6,БТК,
26,3,ГЛОБУЛ,
27,3,ГлоБул ЕАД,
28,3,Глобул,
29,1,Е.ОН България,
30,1,ЕНЕРГО-ПРО,
31,1,Електроразпределение - Столично ЕАД,
32,3,М-Тел,
33,4,Макс Телеком,1
34,4,Мегалан Нетуърк АД,
35,7,Местни данъци и такси - Столична община,
36,3,Мобилтел  ЕАД,
37,2,Софийска вода,
38,2,Софийска вода   АД,
39,2,Софийска вода АД,
40,4,Софийска кабелна компания и Ко ООД,
41,5,Топлофикация София,
42,5,Топлофикация София ЕАД,
43,1,ЧЕЗ,
44,1,ЧЕЗ Електро България АД,
61,1,ЧЕЗ Електро България (515),7
62,1,ЧЕЗ Електро България (423),2
45,4,НЕТ 1 ЕООД,7
46,1,ЕВН България Електроснабдяване,6
64,1,ЕВН България (Баба - Белово),
1,1,ЧЕЗ (Етажна собственост - стълби),5
2,4,Макс Телеком (Мартин),1
3,7,Данък върху недвижимите имоти,7
4,5,Топлофикация София (515),7
5,1,ЧЕЗ (515),7
6,3,Telenor (Мартин),1
7,1,ЕВН България Електроснабдяване (Люба Ненова),6
8,5,Топлофикация София (423),2
9,4,НЕТ 1 ЕООД (515),7
10,7,Такси за битови отпадъци,
11,4,TV NET (515),7
12,3,Telenor (Паша),4
13,1,ЧЕЗ (423),2
14,2,Софийска вода (515),7
15,2,Софийска вода (423),2
16,3,Telenor (Георги),3
17,1,ЧЕЗ (Етажна собственост - асансьор),5
63,4,VIVACOM (VIVACOM mDATA),1
