ID_PAYMENT,TIME_STAMP,CONTRAGENT,AMMOUNT,REF_NUMBER1,REF_NUMBER2,YEAR_RP,MONTH_RP,DAY_RP,ID_WEEKDAY,ID_CONTRAGENT,ID_ACCOUNT,ID_SERVICE
132,2008-03-07T11:02:00..000000000,Софийска вода (515),8.45,515(5029035),515(5029035),2008,3,7,4,14,7,2
133,2008-03-07T11:02:00..000000000,ГлоБул ЕАД,23.17,Mijn GSM(000082520),Mijn GSM(000082520),2008,3,7,4,27,1,3
134,2008-03-07T11:02:00..000000000,ГлоБул ЕАД,35.52,Tatko(000082500),Tatko(000082500),2008,3,7,4,27,3,3
135,2008-03-07T11:02:00..000000000,М-Тел,34.96,Моят телефон(08870589596601),Моят телефон(08870589596601),2008,3,7,4,32,1,3
136,2008-03-07T11:02:00..000000000,Мобилтел  ЕАД,8.4,Mama(08865799136533),Mama(08865799136533),2008,3,7,4,36,9,3
137,2008-03-10T20:47:00..000000000,Мобилтел  ЕАД,92.84,Kaka(08886625376357),Kaka(08886625376357),2008,3,10,0,36,11,3
138,2008-03-11T17:24:00..000000000,БТК,15.22,БТК - Кака(028725348),БТК - Кака(028725348),2008,3,11,1,25,11,3
139,2008-03-13T20:32:00..000000000,БТК,5.52,bl. 515(028254825),bl. 515(028254825),2008,3,13,3,25,7,3
140,2008-03-17T10:04:00..000000000,Топлофикация София ЕАД,32.42,423(151415),423(151415),2008,3,17,0,42,2,5
141,2008-03-17T10:04:00..000000000,ЧЕЗ Електро България АД,7.38,Татко(3000151577),Татко(3000151577),2008,3,17,0,44,7,1
142,2008-03-17T10:04:00..000000000,ЧЕЗ Електро България АД,16.7,Кака(3000248359),Кака(3000248359),2008,3,17,0,44,11,1
143,2008-03-17T10:04:00..000000000,Топлофикация София ЕАД,88.8,515(164402),515(164402),2008,3,17,0,42,7,5
144,2008-04-08T21:05:00..000000000,Софийска вода (515),11.62,515(5029035),515(5029035),2008,4,8,1,14,7,2
145,2008-04-08T21:05:00..000000000,ГлоБул ЕАД,15.31,Mijn GSM(000082520),Mijn GSM(000082520),2008,4,8,1,27,1,3
146,2008-04-08T21:05:00..000000000,ЧЕЗ Електро България АД,25.66,515(3000153493),515(3000153493),2008,4,8,1,44,7,1
147,2008-04-08T21:05:00..000000000,ГлоБул ЕАД,26.99,Tatko(000082500),Tatko(000082500),2008,4,8,1,27,3,3
148,2008-04-08T21:05:00..000000000,Мобилтел  ЕАД,8.4,Mama(08865799136533),Mama(08865799136533),2008,4,8,1,36,9,3
149,2008-04-08T21:05:00..000000000,М-Тел,24.06,Моят телефон(08870589596601),Моят телефон(08870589596601),2008,4,8,1,32,1,3
150,2008-04-12T17:58:00..000000000,ЧЕЗ Електро България АД,13.78,Кака(3000248359),Кака(3000248359),2008,4,12,5,44,11,1
151,2008-04-12T17:58:00..000000000,БТК,25.96,БТК - Кака(028725348),БТК - Кака(028725348),2008,4,12,5,25,11,3
152,2008-04-12T17:58:00..000000000,Мобилтел  ЕАД,63.31,Kaka(08886625376357),Kaka(08886625376357),2008,4,12,5,36,11,3
