ID_CONTRAGENT,ID_TYPE,ID_CLASSIFICATION
339,10,1
354,16,2
361,12,5
366,17,2
367,17,2
368,17,2
369,17,2
370,17,2
342,15,5
378,7,2
380,4,2
382,8,2
383,19,4
385,15,2
395,6,2
396,11,2
1,17,4
2,17,4
3,17,4
4,17,4
5,12,2
6,7,2
7,17,4
8,5,2
9,1,2
10,17,2
11,17,4
12,4,2
13,13,2
14,13,2
15,13,2
16,13,2
17,13,2
18,4,2
19,4,2
20,17,4
21,17,4
22,17,4
23,10,2
24,8,1
25,4,2
26,12,2
27,4,2
28,14,2
29,9,2
30,10,1
31,1,2
32,5,2
33,18,3
34,14,2
35,14,2
36,5,2
37,10,1
38,16,2
39,17,4
40,5,2
41,17,4
42,8,2
43,5,2
44,18,3
45,10,1
46,8,2
47,1,2
48,14,2
49,4,2
50,10,1
51,1,2
52,1,2
53,17,4
54,11,2
55,7,2
56,10,1
57,10,1
58,17,4
59,5,2
60,10,1
61,8,2
62,12,2
63,5,2
64,6,2
65,10,1
66,10,1
67,11,2
68,17,4
69,6,2
70,11,2
71,14,2
72,12,2
73,1,2
74,10,1
75,4,2
76,14,2
77,14,2
78,5,2
79,2,5
80,18,3
81,18,3
82,12,2
83,18,3
84,8,2
85,5,2
86,4,2
87,18,3
88,18,3
89,10,1
90,11,2
91,11,2
92,10,1
93,5,2
94,14,2
95,7,2
96,8,2
97,4,2
98,2,5
99,13,2
100,11,2
101,11,2
102,4,2
103,2,5
104,4,2
105,8,2
106,14,2
107,2,5
108,8,2
109,10,1
110,8,1
111,17,4
112,15,2
113,4,2
114,4,2
115,4,2
116,14,2
117,6,2
118,2,5
119,4,2
120,12,2
121,8,2
122,1,2
123,2,2
124,5,2
125,10,1
126,17,4
127,14,2
128,8,2
129,14,2
130,1,2
131,12,2
132,12,2
133,4,2
134,10,1
135,12,2
136,11,2
137,8,2
138,11,2
139,14,2
140,14,2
141,16,2
142,4,2
143,,
144,,
145,12,2
146,13,2
147,5,2
148,12,2
149,5,2
150,1,2
151,12,2
152,17,4
153,2,2
154,16,2
155,16,2
156,11,2
157,12,2
158,14,2
159,12,2
160,12,2
161,12,2
162,8,2
163,4,2
164,11,2
165,10,1
166,5,2
167,5,2
168,11,2
169,12,2
170,8,2
171,,
172,5,2
173,14,2
174,10,2
175,14,2
176,8,2
177,8,2
178,10,1
179,12,2
180,6,2
181,4,2
182,10,1
183,12,2
184,14,2
185,,
186,10,1
187,,
188,12,2
189,11,2
190,4,2
191,12,2
192,8,2
193,1,2
195,11,2
196,11,2
197,11,2
198,1,2
199,11,2
200,12,2
201,14,2
202,12,2
203,12,2
204,,
205,13,2
206,6,2
207,1,2
208,1,2
209,14,2
210,,
211,11,2
212,5,4
213,,
214,2,1
215,5,2
216,,
217,8,2
218,16,2
219,12,2
220,10,2
221,4,2
222,12,2
223,12,2
224,,
225,14,2
226,10,1
227,4,2
228,10,1
229,4,2
230,12,2
231,13,2
232,8,2
233,10,1
234,7,4
235,17,4
236,8,2
237,8,2
238,8,2
239,2,5
240,11,2
241,11,2
242,11,2
243,11,2
244,19,4
245,11,2
246,12,2
247,16,2
248,11,2
249,14,2
250,14,2
251,16,2
252,14,2
253,17,2
254,12,2
255,4,2
256,10,2
257,8,2
258,8,2
259,11,2
260,16,2
261,8,2
263,8,2
264,14,2
265,12,2
266,12,2
267,10,2
268,5,2
269,7,2
270,4,2
271,1,2
272,4,2
273,12,2
274,3,2
275,6,2
276,8,2
277,,
278,17,4
279,13,2
280,4,2
281,11,2
282,5,2
283,12,2
284,11,2
285,10,1
286,4,2
287,4,2
289,4,2
290,7,2
291,14,2
292,10,1
293,14,2
294,12,2
295,12,2
296,15,2
297,8,2
298,8,2
299,12,2
300,13,2
301,12,2
302,4,2
303,18,2
304,14,2
306,14,2
307,4,2
308,,
309,14,2
310,5,2
311,5,2
312,4,2
313,5,2
314,8,2
315,10,1
316,10,1
317,,
318,,
319,,
320,14,2
321,,
322,,
323,13,2
324,8,2
325,,
326,,
327,,
328,15,2
329,13,2
330,14,2
331,4,2
332,,
333,5,2
334,,
345,15,2
346,4,2
347,17,4
348,11,2
349,11,2
350,6,2
351,2,5
352,19,2
353,8,1
194,16,2
262,17,4
305,8,2
288,8,2
335,8,2
336,,
337,14,2
355,8,2
356,8,2
357,8,2
358,15,2
365,11,2
343,6,2
344,8,2
371,19,4
372,19,5
373,19,4
374,6,2
377,4,2
381,11,2
390,5,2
397,8,1
401,14,2
341,4,2
360,12,2
376,10,1
379,7,2
387,8,1
392,17,4
393,10,2
394,12,2
402,8,2
338,4,2
340,10,1
359,14,2
362,8,2
363,14,2
364,1,2
375,8,2
384,14,2
386,4,2
388,10,2
389,8,1
391,8,2
398,14,2
399,16,2
400,14,2
