ID_CONTRAGENT,CONTRAGENT_ID,LEGAL_NAME,CONTRAGENT_COL
21,729,VIVACOM 4103 SOFIA BGR,VIVACOM
37,730,CARREFOUR 003/21 SOFIYA BGR,CARREFOUR
81,731,LUKOIL B41 SOFIYA BGR,LUKOIL
30,732,BILLA SOFIA LULIN SOFIYA BGR,BILLA
148,733,CARNIVAL KIDS SOFIYA BGR,CARNIVAL
81,734,LUKOIL B32 SOFIYA BGR,LUKOIL
43,437,IKEA SOFIA 13 SOFIYA BGR,IKEA
44,736,JUMBO 12 SOFIA BGR,JUMBO
33,737,EKO CHEPINTSI BGR,EKO
147,738,SISI SOFIA BGR,SISI
44,739,JUMBO-EVROPA 6 SOFIA BGR,JUMBO
60,740,METRO K&K 1010-09/10 SOFIA BGR,METRO
128,438,K-EXPRESS - BPS SOFIYA BGR,K-EXPRESS
62,742,MUSIC FASHION BGR,MUSIC
104,743,GEOX THE MALL SOFIYA BGR,GEOX
98,744,PROSPEED MOTOR SOFIYA BGR,PROSPEED
60,745,METRO K&K LTD 1012-19/20 SOFIA BGR,METRO
37,746,CARREFOUR BG 003/37 SOFIA BGR,CARREFOUR
51,747,BOOKSHOP CIELA SOFIYA BGR,CIELA
111,748,TELENOR 100000037 002 SOFIA BGR,Telenor
35,749,PAYPAL *TRENDO BG 35314369001 LUX,TRENDO
63,750,"Doverie Brico AD, Lulin Sf BGR",Bricolage
123,751,EPAY ATHLETIC-BG.COM SOFIYA BGR,ATHLETIC-BG.COM
36,441,BRICO SOFIA 2 K6 SOFIYA BGR,BRICO
93,753,PRAKTIKER 604 CASH 3 SOFIA BGR,PRAKTIKER
100,754,TECHNOPOLIS LULIN 2 SOFIA BGR,TECHNOPOLIS
50,755,LIDL Bulgaria EOOD SOFIA BGR,LIDL
73,756,HELIKON SOFIYA BGR,HELIKON
90,757,TECHNOMARKET BULGARIA EAD SOFIA BGR,TECHNOMARKET
150,758,REKTORATA LTD SOFIA BGR,REKTORATA
45,759,KAUFLAND 1100 SOFIYA BGR,KAUFLAND
64,446,"EDX, INC. CAMBRIDGE USA",EDX
70,761,PAYPAL *PHOTOLIGHTP 35314369001 LUX,PAYPAL
33,762,GAS STATIONS EKO VARNA BGR,EKO
59,763,DM 043 SOFIA PC SOFIYA BGR,DM
111,764,TELENOR 100000008 002 SOFIA BGR,Telenor
146,765,TOKUDA APTEKA EOOD TOKB SOFIA BGR,TOKUDA
166,766,ENIKOM-M SOFIYA BGR,ENIKOM-M
147,767,SI SI KEY RITEYL OOD SOFIYA BGR,SISI
156,798,DRI Microsoft HUP 3516130944 LUX,Microsoft
115,450,TERRANOVA 1350 SOFIYA BGR,TERRANOVA
33,453,EKO 05 1905 SOFIA BGR,EKO
279,456,VET.CLINIKA.VNL SOFIYA BGR,VET.CLINIKA.VNL
100,460,TECHNOPOLIS K5 SOFIYA BGR,TECHNOPOLIS
149,209,LILLY DROGERIE SERDIK SOFIA BGR,LILLY
37,210,CARREFOUR 007/02 SOFIYA BGR,CARREFOUR
42,214,HAPPY SUSHI SOFIA BGR,HAPPY
33,219,EKO SOFIA VAZOV 1040 SOFIA BGR,EKO
348,223,PAYPAL *NETSALES 4029357733 HKG,NETSALES 
36,229,BRICO SOFIA 1 SOFIYA BGR,BRICO
165,231,Plus-Bulgaria Commerce Sofia BGR,Plus-Bulgaria
33,240,EKO SF BULGARIA 1051 SOFIA BGR,EKO
54,245,BUSINESS PARK SOFIA BGR,BUSINESS
231,251,PHARMACY SOFIYA BGR,PHARMACY
89,254,PENNY MARKET SOFIYA BGR,PENNY
80,259,SHELL SOFIA EUROPE SOFIA BGR,SHELL
102,263,RESERVED THE MAL SOFIYA BGR,RESERVED
2,268,Sofiyska voda MY FIBANK BGR,Софийска вода
20,272,Пълно погасяване,Погасяване
46,276,KFC LIULIN BILLA SOFIYA BGR,KFC
44,277,JUMBO EVROPA SOFIA BGR,JUMBO
154,281,RYANAIR   MWK0 DUBLIN IRL,RYANAIR
111,286,TELENOR 100000046 002 SOFIA BGR,Telenor
33,291,EKO 05 LYULIN 1905 BGR,EKO
66,294,FANTASTIKO 16 K7 SOFIYA BGR,FANTASTICO
116,299,PHOTOSYNTHESIS SOFIA BGR,PHOTOSYNTHESIS
33,300,EKO AL MALINOV 1092 SOFIA BGR,EKO
48,461,CINEMA ENTERTAINMENT EO OD Sofia BGR,CINEMA
129,467,ELATE PLAZA SOFIYA BGR,ELATE
39,469,BULSATCOM-SALES EOOD SOFIA BGR,BULSATCOM
45,475,KAUFLAND SF5 K14 SOFIYA BGR,KAUFLAND
226,478,SUPERMARKET F32-05 SOFIA BGR,SUPERMARKET
50,482,LIDL:::800 SOFIYA BGR,LIDL
33,486,EKO O5 VARNA 1911 VARNA BGR,EKO
37,487,CARREFOUR 003/18 SOFIYA BGR,CARREFOUR
270,489,SHOP DIVERSO SOFIYA BGR,DIVERSO
37,493,CARREFOUR BG 003/18 SOFIA BGR,CARREFOUR
21,498,VIVACOM 4146 SOFIA BGR,VIVACOM
48,502,CINEMA CITY BULGARIA EOOD SOFIA BGR,CINEMA
100,510,TECHNOPOLIS K2 PLOVDIV BGR,TECHNOPOLIS
33,511,EKO TS.SELO 1903 SOFIA BGR,EKO
90,515,WWW.TECHNOMARKET.BG SOFIA BGR,TECHNOMARKET
43,93,IKEA SOFIA 5 SOFIYA BGR,IKEA
80,101,SHELL OVCHA KUPEL SOFIA BGR,SHELL
60,112,METRO B. PARK 2 SOFIYA BGR,METRO
88,128,PETROL 1208 NOVA-ZAGORA BGR,PETROL
44,131,JUMBO 9 SOFIA BGR,JUMBO
111,134,GLOBUL-MALL SERDIKA SOFIA BGR,Telenor
111,137,GLOBUL BPS SOFIA BGR,Telenor
42,140,HAPPY SUSHI BGR,HAPPY
12,156,ANDREWS FASION SOFIYA BGR,ANDREWS
112,198,TSENTAR ZA GRADSKA MOBILNOS SOFIA BGR,MOBILNOST
43,203,IKEA SOFIA 10 SOFIYA BGR,IKEA
47,204,ORANGE CENTER MALL SOFIA BGR,ORANGE
111,41,Telenor,Telenor
11,42,TV NET,TV NET
21,43,VIVACOM,VIVACOM
21,44,VIVACOM (фиксирана мрежа),VIVACOM
21,45,БТК,VIVACOM
111,46,ГЛОБУЛ,Telenor
111,47,ГлоБул ЕАД,Telenor
41,48,Данък върху недвижимите имоти,МДТ-СО
3,49,Е.ОН България,Е.ОН
1,50,Електроразпределение - Столично ЕАД,ЧЕЗ
7,51,ЕНЕРГО-ПРО,ЕНЕРГО-ПРО
4,52,Макс Телеком,Макс Телеком
53,53,Мегалан Нетуърк АД,Мегалан
41,54,Местни данъци и такси - Столична община,Местни данъци и такси
22,55,Мобилтел  ЕАД,М-Тел
22,56,М-Тел,М-Тел
58,57,НЕТ 1 ЕООД,НЕТ1
2,58,Софийска вода,Софийска вода
168,398,MULTIRAMA BP SOFIA SOFIA BGR,MULTIRAMA
2,60,Софийска вода АД,Софийска вода
11,61,Софийска кабелна компания и Ко ООД,TV NET
41,62,Такси за битови отпадъци,МДТ-СО
126,63,Топлофикация София,Топлофикация София
126,64,Топлофикация София ЕАД,Топлофикация София
1,65,ЧЕЗ,ЧЕЗ
1,66,ЧЕЗ Електро България АД,ЧЕЗ
1,67,"ЧЕЗ Електро България АД, регион София",ЧЕЗ
37,401,CARREFOUR 003/27 SOFIYA BGR,CARREFOUR
37,402,CARREFOUR 003/32 SOFIYA BGR,CARREFOUR
225,403,RED HOUSE SOFIA BGR,RED
32,406,BONJOUR BUSINESS PARK SOFIA BGR,BONJOUR
164,811,GOOGLE *Escapist Games GOOGLE.COM/CH USA,GOOGLE
45,411,KAUFLAND SF5 K13 SOFIYA BGR,KAUFLAND
164,812,GOOGLE *Google Play Ap g.co/helppay# GBR,GOOGLE
164,813,GOOGLE *Google Storage GOOGLE.COM/CH USA,GOOGLE
164,814,GOOGLE *JFDP Labs LTD GOOGLE.COM/CH USA,GOOGLE
87,414,PARK H-L EUROPE HASKOVO BGR,PARK
164,815,GOOGLE *Jamie Android GOOGLE.COM/CH USA,GOOGLE
60,415,METRO K&K 1012-25/26 SOFIA BGR,METRO
223,419,SPORTINA EOOD SOFIA BGR,SPORTINA
164,816,GOOGLE *PerfectlyClear GOOGLE.COM/CH CAN,GOOGLE
164,817,GOOGLE *Skimble Inc GOOGLE.COM/CH USA,GOOGLE
9,423,ALBA BOOKS EOOD SOFIA BGR,ALBA
164,818,GOOGLE *SwiftKey GOOGL GOOGLE.COM/CH USA,GOOGLE
164,819,GOOGLE *TuneIn GOOGLE.COM/CH USA,GOOGLE
167,424,RHENUS BULGARIA SOFIYA BGR,RHENUS
100,428,TECHNOPOLISPRDSE SOFIYA BGR,TECHNOPOLIS
164,820,GOOGLE *Unidocs Inc GOOGLE.COM/CH USA,GOOGLE
164,821,GOOGLE *androidSlide GOOGLE.COM/CH USA,GOOGLE
164,822,GOOGLE *androidmarket GOOGLE.COM/CH GBR,GOOGLE
198,823,GREENWICH BOOK SOFIA BGR,GREENWICH
199,824,GROUPON INC 877-788-7858 USA,GROUPON
65,431,EVROPA 5 SOFIYA BGR,EVROPA
201,825,HEINEMANN DUTY FREE FRANKFURT DEU,HEINEMANN
71,826,HIPPOLAND LULIN SOFIA BGR,HIPPOLAND
74,827,HIT LYULIN SOFIYA BGR,HIT
224,433,M-N MLADOST 5 SOFIYA BGR,M-N
156,799,DRI*Microsoft H Luxembourg LUX,Microsoft
43,828,IKEA SOFIA 9 SOFIYA BGR,IKEA
43,829,IKEA SOFIA SOFIYA BGR,IKEA
156,800,"DRI*Microsoft H Shannon, Co. IRL",Microsoft
63,801,"Doverie Brico AD, Luli Sofia BGR",Bricolage
157,802,E-BOUTIQUE GIULIAN SOFIYA BGR,Guilian
158,803,EDO SOFIA EOOD SOFIA BGR,EDO
160,804,FESTINA WATCHCORNER BERLIN 3 DEU,FESTINA
191,805,FIVERR.COM NICOSIA CYP,FIVERR
42,806,FRESH&HAPPY SOFIYA BGR,HAPPY
195,807,GOOGLE *Autodesk Inc GOOGLE.COM/CH USA,Autodesk 
196,808,GOOGLE *Bithack AB GOOGLE.COM/CH USA,Bithack 
272,768,ECO BUL CHAN LTD BANKYA BGR,Eco
173,769,001 PEPERONCHINO SOFIA BGR,PEPERONCHINO
171,770,7 STARS OOD SOFIA BGR,7STARS
10,771,AMAZON DIGITAL SVCS 88 888-802-3080 USA,AMAZON
10,772,AMZ*GIFTCARDS Amazon.com USA,AMAZON
14,773,APTEKA SOFIYA BGR,APTEKA
17,774,APTEKA VITANIA SOFIYA BGR,VITANIA
155,775,AUSTRIAN  2589486953 SOFIA BGR,Austrian
10,776,Amazon *Mktplce EU-DE 800-279-6620 LUX,AMAZON
10,777,Amazon *Mktplce EU-DE WWW.AMAZON.DE LUX,AMAZON
10,778,Amazon *Mktplce EU-UK AMAZON.CO.UK LUX,AMAZON
10,779,Amazon EU AMAZON.CO.UK GBR,AMAZON
10,780,Amazon EU AMAZON.CO.UK LUX,AMAZON
10,781,Amazon Services-Kindle 866-216-1072 USA,AMAZON
10,782,Amazon.com AMZN.COM/BILL USA,AMAZON
139,783,BALKAN ORGANICS EOOD SOFIA BGR,BALKAN
170,784,BARISTA COFEE SOFIYA BGR,BARISTA
174,785,BELOVO BELOVO BGR,BELOVO
30,786,BILLA 103 LYULIN SOFIA BGR,BILLA
120,787,BODEGA OSVOBODITEL SOFIA BGR,BODEGA
162,788,BRICKS SOFIYA BGR,BRICKS
163,789,C&A MAGDEBURG MAGDEBURG DEU,C&A
177,790,CICCIONE SOFIA BGR,CICCIONE
48,791,CINEMA CITY - R SOFIYA BGR,CINEMA
169,792,COCO NAIL HOUSE SOFIYA BGR,COCO
216,793,CONCESSION SOFIYA BGR,CONCESSION
180,794,DATACAMP INC. 4158419347 USA,DATACAMP
218,795,DB BAHN A-NR 4RPD3L INTERNET DEU,DBAHN
220,796,DIAMANT PARFUEMERIE BERLIN DEU,PARFUEMERIE
59,797,DM 053 SOFIA21 SOFIYA BGR,DM
164,809,GOOGLE *Dasur SlideIT GOOGLE.COM/CH GBR,GOOGLE
164,810,GOOGLE *EA Mobile GOOGLE.COM/CH USA,GOOGLE
50,90,LIDL  Bulgaria EOOD LIDL BGR,LIDL
268,91,ZORA SOFIA 28 SOFIA BGR,ZORA
42,94,HAPPY BAR & GRILL PLOVDIV BGR,HAPPY
10,95,AMAZON EU AMAZON.DE AMAZON.DE LUX,AMAZON
117,96,LINUXFOUNDATION.ORG 4157239709 USA,LINUXFOUNDATION.ORG
46,97,KFC ARENA M-ST SOFIYA BGR,KFC
10,98,Amazon DE Marketplace 800-279-6620 LUX,AMAZON
256,99,OMEGA MARKET SOFIA BGR,OMEGA
71,100,HIPPOLAND AD SOFIA HIPP BGR,HIPPOLAND
154,102,RYANAIR   ZPZ0 DUBLIN IRL,RYANAIR
60,103,METRO:12 SOFIYA BGR,METRO
257,104,RESTAURANT SOFIA BGR,RESTAURANT
244,105,MYFIBANK TAX PAYMENTS SOFIA SOFIA BGR,MYFIBANK
70,106,PAYPAL *PRASPRESOOD 35314369001 LUX,PAYPAL
46,107,KFC BG MALL SOFIYA BGR,KFC
315,108,TRE P SOFIYA BGR,TRE
281,109,STEAMGAMES.COM LUXEMBOURG LUX,STEAMGAMES.COM
42,110,HAPPY BAR&GRILL SOFIA BGR,HAPPY
86,111,PARADISE MODA ITALIAN SOFIA BGR,PARADISE
27,113,BEBESHKI MAGAZIN SOFIYA BGR,BEBESHKI
30,114,BILLA 103 SOFIYA BGR,BILLA
300,115,MBAL NADEJDA SOFIYA BGR,NADEJDA
5,117,GRABO.BG PLOVDIV BGR,GRABO.BG
33,120,GAS STATION EKO BGR,EKO
21,121,VIVACOM 4147 SOFIA BGR,VIVACOM
70,122,PAYPAL *MUGENPOWER 4029357733 HKG,PAYPAL
59,123,DM BULGARIA 43 SOFIYA BGR,DM
56,124,CELLIO PARADISE SOFIYA BGR,CELLIO
91,125,PC STORE SOFIA BGR,PC
115,126,TERRANOVA 1074 SOFIYA BGR,TERRANOVA
278,127,MAX TELECOM OOD SOFIA BGR,Max
281,129,PAYPAL *STEAM GAMES 35314369001 GBR,STEAM
37,130,CARREFOUR 003/22 SOFIYA BGR,CARREFOUR
81,132,LUKOIL B024 VARNA BGR,LUKOIL
144,133,TV EVROPA SOFIA BGR,TVEVROPASOFIABGR
60,135,METRO K&K 1012-13/14 SOFIA BGR,METRO
57,136,CBA LYULIN SOFIA BGR,CBA
118,138,AUTOSLIK OOD PRCB SOFIA BGR,AUTOSLIK
92,143,PICCADILLY PARK VARNA BGR,PICCADILLY
81,144,LUKOIL B016 SOFIYA BGR,LUKOIL
47,145,ORANGE CENTER SKY SOFIA BGR,ORANGE
100,146,TECHNOPOLIS SOFIA 6 SOFIA BGR,TECHNOPOLIS
60,147,METRO K&K 1012 GSM 2 SOFIA BGR,METRO
100,148,TECHNOPOLIS SOFIA 2 SOFIA BGR,TECHNOPOLIS
204,150,IMPULSIVE 1 SOFIYA BGR,IMPULSIVE
60,152,METRO K&K LTD 1012-17/18 SOFIA BGR,METRO
88,154,PETROL 7106 SOFIA BGR,PETROL
60,155,METRO K&K LTD 1012-15/16 SOFIA BGR,METRO
212,158,LOGISTIKA SOFIA BGR,LOGISTIKA
43,159,IKEA SOFIA 8 SOFIYA BGR,IKEA
211,160,LN Solutions LTD-Virtua l Sofia BGR,LN
119,161,H & M SOFIYA BGR,H&M
106,163,SPORT DEPOT MLADOST SOFIA BGR,SPORTDEPOT
30,164,BILLA 141 IZTOK SOFIYA BGR,BILLA
164,167,GOOGLE *Wolfram Alpha GOOGLE.COM/CH GBR,GOOGLE
90,168,TECHNOMARKET SOFIA BGR,TECHNOMARKET
66,169,FANTASTICO 16K10 SOFIYA BGR,FANTASTICO
308,170,MM BUSINESS PARK SOFIYA BGR,MM
99,171,PIROGOV GL KASA SOFIYA BGR,PIROGOV
319,172,SLG LIMITED LTD SOFIYA BGR,SLG
71,173,HIPPO SF BG MALL 1 SOFIA BGR,HIPPOLAND
88,174,PETROL 0202 KUSTENDIL КЮСТЕНДИЛ BGR,PETROL
179,175,CHERNI VRAH 90 SOFIYA BGR,CHERNI
221,176,DOKS STUDIO OOD SOFIA BGR,DOKS
140,178,CAPA HOSOMAKI RING EOOD SOFIA BGR,CAPA
125,179,345 OOD SOFIA BGR,345
48,180,CINEMA ENTERTAINMENT OOD SOFIA BGR,CINEMA
233,181,SUPERMARKET PEYCHEV BELOVO BGR,SUPERMARKET
120,182,MYPOS  *BODEGA OSVOBOD SOFIA BGR,BODEGA
43,183,IKEA SOFIA BGR,IKEA
40,184,Boro Terakol LTD Sofia BGR,BORO
33,185,EKO SF SHIP PROH 1061 SOFIA BGR,EKO
66,186,FANTASTIKO 28 K11 SOFIYA BGR,FANTASTICO
110,187,TASTY 2 SOFIYA BGR,TASTY
192,188,FUNHOUSE BY A52 OOD SOFIA BGR,FUNHOUSE
189,189,Senetic senetic.com POL,Senetic
121,190,NATIONAL HISARYA BGR,NATIONAL
350,191,SOFTUNI.BG 0035989477225 BGR,SOFTUNI.BG
60,192,METRO CANDC 12 SOFIYA BGR,METRO
265,193,STEM 2012 EOOD SOFIA BGR,STEM
42,194,HAPPY BAR&GRILL PLOVDIV BGR,HAPPY
93,195,PRAKTIKER SOFIA SOFIYA BGR,PRAKTIKER
216,196,CONCESSION SOFIA BGR,CONCESSION
10,197,AmazonPrime Membership amzn.com/prme USA,AMAZON
122,199,L'EUROPEO SOFIA BGR,L'EUROPEO
282,200,OFFICE 1 SLATINA SOFIYA BGR,OFFICE1
289,201,SHOP SHOES 3 SOFIYA BGR,SHOES
284,202,RESET COMPUTERS SOFIYA BGR,RESET
12,205,ANDREWS Stores Sofia BGR,ANDREWS
347,206,PAYPAL *NETFLIX.COM 35314369001 LUX,NETFLIX
106,207,SD-12-LULIN SOFIYA BGR,SPORTDEPOT
239,208,PAYPAL *F5R TEAM 535950445 LUX,F5R
59,213,DM BULGARIA EOOD SOFIYA BGR,DM
70,216,PAYPAL *SUNNY 35314369001 LUX,PAYPAL
2,221,SOFIYSKA VODA AD SOFIA BGR,Софийска вода
73,222,HELIKON AD BURGAS BGR,HELIKON
30,224,BILLA VELINGRAD VELINGRAD BGR,BILLA
80,225,SHELL MLADOST SOFIA BGR,SHELL
33,226,GAS STATIONS EKO SOFIA BGR,EKO
59,228,DOVERIE DM SOFIA BGR,DM
45,230,KAUFLAND 1000 SOFIYA BGR,KAUFLAND
60,232,METRO 12 NIGHT SOFIA BGR,METRO
81,233,LUKOIL B011 VELIKO TARNOV BGR,LUKOIL
79,235,LADA GROUP LTD SOFIYA BGR,LADA
168,236,MULTIRAMA BGR,MULTIRAMA
60,239,METRO K&K 1012-21/22 SOFIA BGR,METRO
51,241,CIELA BGR,CIELA
66,243,FANTASTIKO 33 K10 SOFIYA BGR,FANTASTICO
190,244,FOOT COMFORT SOFIA BGR,FOOT
50,246,LIDL Bulgaria EOOD Pernik BGR,LIDL
38,247,BULGARIA AIR ETICKET SOFIYA BGR,BULGARIA
320,250,MOTORCO LTD SOFIA BGR,MOTORCO
101,252,MAGAZIN PULSAR SOFIYA BGR,PULSAR
208,253,LA ZA ZA SOFIA BGR,LAZAZA
164,256,GOOGLE *EveryCircuit GOOGLE.COM/CH GBR,GOOGLE
333,258,SAMSON SOFIA BGR,SAMSON
123,260,ATHLETIC FITNESS SOFIYA BGR,ATHLETIC
52,261,BOOKTRADING SOFIYA BGR,BOOKTRADING
313,262,MMS INC SHOWROOM SOFIYA BGR,MMS
50,265,LIDL SOFIA:::800 SOFIYA BGR,LIDL
284,266,MAGAZIN PUNTO SOFIA BGR,PUNTO
84,269,ONAGI I SOFRATA SOFIYA BGR,ONAGI
80,270,SHELL LJULIN CENTER SOFIA BGR,SHELL
152,271,EVN Bulgaria MY FIBANK BGR,EVN
100,273,TECHNOPOLIS K2 SOFIYA BGR,TECHNOPOLIS
353,274,MAGAZIN BALGARIA HISAR BGR,HISAR
97,275,POMPEA SOFIA BGR,POMPEA
278,278,Max Telecom MY FIBANK BGR,Max
